timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1775548924.1085,42,44,43,42,42,41,43,44,43,43,43,43
1775548924.3090,42,44,43,42,42,41,43,44,43,43,43,43
1775548924.5096,42,44,43,42,42,41,43,44,43,43,43,43
1775548924.7100,42,44,43,42,42,41,43,44,43,43,43,43
1775548924.9102,42,44,43,42,42,41,43,44,43,43,43,43
1775548925.1112,42,44,43,42,42,41,43,44,43,43,43,43
1775548925.3114,42,44,43,42,42,41,43,44,43,43,43,43
1775548925.5117,42,44,43,42,42,41,43,44,43,43,43,43
1775548925.7121,42,44,43,42,42,41,43,44,43,43,43,43
1775548925.9124,42,44,43,42,42,41,43,44,43,43,43,43
1775548926.1128,42,44,43,42,42,41,43,44,43,43,43,43
1775548926.3131,42,44,43,42,42,41,43,44,43,43,43,43
1775548926.5133,42,44,43,42,42,41,43,44,43,43,43,43
1775548926.7136,42,44,43,42,42,41,43,44,43,43,43,43
1775548926.9139,42,44,43,42,42,41,43,44,43,43,43,43
1775548927.1141,42,44,43,42,42,41,43,44,43,43,43,43
1775548927.3144,42,44,43,42,42,41,43,44,43,43,43,43
1775548927.5150,42,44,43,42,42,41,43,44,43,43,43,43
1775548927.7152,42,44,43,42,42,41,43,44,43,43,43,43
1775548927.9157,42,44,43,42,42,41,43,44,43,43,43,43
1775548928.1160,42,44,43,42,42,41,43,44,43,43,43,43
1775548928.3164,42,44,43,42,42,41,43,44,43,43,43,43
1775548928.5167,42,44,43,42,42,41,43,44,43,43,43,43
1775548928.7169,42,44,43,42,42,41,43,44,43,43,43,43
1775548928.9172,42,44,43,42,42,41,43,44,43,43,43,43
1775548929.1176,42,44,43,42,42,41,43,44,43,43,43,43
1775548929.3181,42,44,43,42,42,41,43,44,43,43,43,43
1775548929.5184,42,44,43,42,42,41,43,44,43,43,43,43
1775548929.7187,42,44,43,42,42,41,43,44,43,43,43,43
1775548929.9190,42,44,43,42,42,41,43,44,43,43,43,43
1775548930.1194,42,44,43,42,42,41,43,44,43,43,43,43
1775548930.3197,42,44,43,42,42,41,43,44,43,43,43,43
1775548930.5200,42,44,43,42,42,41,43,44,43,43,43,43
1775548930.7205,42,44,43,42,42,41,43,44,43,43,43,43
1775548930.9209,42,44,43,42,42,41,43,44,43,43,43,43
1775548931.1212,42,44,43,42,42,41,43,44,43,43,43,43
1775548931.3215,42,44,43,42,42,41,43,44,43,43,43,43
1775548931.5220,42,44,43,42,42,41,43,44,43,43,43,43
1775548931.7224,42,44,43,42,42,41,43,44,43,43,43,43
1775548931.9226,42,44,43,42,42,41,43,44,43,43,43,43
1775548932.1229,42,44,43,42,42,41,43,44,43,43,43,43
1775548932.3232,42,44,43,42,42,41,43,44,43,43,43,43
1775548932.5239,42,44,43,42,42,41,43,44,43,43,43,43
1775548932.7243,42,44,43,42,42,41,43,44,43,43,43,43
1775548932.9247,42,44,43,42,42,41,43,44,43,43,43,43
1775548933.1252,42,44,43,42,42,41,43,44,43,43,43,43
1775548933.3256,42,44,43,42,42,41,43,44,43,43,43,43
1775548933.5259,42,44,43,42,42,41,43,44,43,43,43,43
1775548933.7265,42,44,43,42,42,41,43,44,43,43,43,43
1775548933.9269,42,44,43,42,42,41,43,44,43,43,43,43
1775548934.1272,42,44,43,42,42,41,43,44,43,43,43,43
1775548934.3274,42,44,43,42,42,41,43,44,43,43,43,43
1775548934.5277,42,44,43,42,42,41,43,44,43,43,43,43
1775548934.7282,42,44,43,42,42,41,43,44,43,43,43,43
1775548934.9287,42,44,43,42,42,41,43,44,43,43,43,43
1775548935.1289,42,44,43,42,42,41,43,44,43,43,43,43
1775548935.3295,42,44,43,42,42,41,43,44,43,43,43,43
1775548935.5298,42,44,43,42,42,41,43,44,43,43,43,43
1775548935.7301,42,44,43,42,42,41,43,44,43,43,43,43
1775548935.9304,42,44,43,42,42,41,43,44,43,43,43,43
1775548936.1309,42,44,43,42,42,41,43,44,43,43,43,43
1775548936.3313,42,44,43,42,42,41,43,44,43,43,43,43
1775548936.5322,42,44,43,42,42,41,43,44,43,43,43,43
1775548936.7324,42,44,43,42,42,41,43,44,43,43,43,43
1775548936.9329,42,44,43,42,42,41,43,44,43,43,43,43
1775548937.1332,42,44,43,42,42,41,43,44,43,43,43,43
1775548937.3334,42,44,43,42,42,41,43,44,43,43,43,43
1775548937.5340,42,44,43,42,42,41,43,44,43,43,43,43
1775548937.7343,42,44,43,42,42,41,43,44,43,43,43,43
1775548937.9345,42,44,43,42,42,41,43,44,43,43,43,43
1775548938.1348,42,44,43,42,42,41,43,44,43,43,43,43
1775548938.3351,42,44,43,42,42,41,43,44,43,43,43,43
1775548938.5353,42,44,43,42,42,41,43,44,43,43,43,43
1775548938.7356,42,44,43,42,42,41,43,44,43,43,43,43
