timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777887625.3751,45,45,53,42,43,43,44,46,47,45,44,49
1777887625.5753,45,45,53,42,43,43,44,46,47,45,44,49
1777887625.7756,45,45,53,42,43,43,44,46,47,45,44,49
1777887625.9759,45,45,53,42,43,43,44,46,47,45,44,49
1777887626.1762,45,45,53,42,43,43,44,46,47,44,44,49
1777887626.3764,45,45,53,42,43,43,44,46,47,45,44,49
1777887626.5767,45,45,53,42,43,43,44,46,47,45,44,49
1777887626.7769,45,45,53,42,43,43,44,45,47,45,44,49
1777887626.9772,45,45,53,42,43,43,44,46,47,45,44,49
1777887627.1775,46,45,53,42,43,43,43,46,47,45,44,49
1777887627.3778,45,45,53,42,43,43,44,46,47,45,44,49
1777887627.5781,45,45,53,42,43,43,44,46,47,45,44,49
1777887627.7783,45,45,53,42,43,43,44,46,47,45,44,49
1777887627.9786,45,45,53,42,43,43,44,46,47,45,44,49
1777887628.1789,45,45,53,42,43,43,44,46,47,45,44,49
1777887628.3791,45,45,53,42,43,43,44,45,47,45,44,49
1777887628.5794,45,45,54,42,43,43,44,46,47,45,44,49
1777887628.7796,45,45,53,42,43,43,44,46,47,45,44,49
1777887628.9801,45,45,53,42,43,43,44,46,47,44,44,49
1777887629.1803,45,45,53,42,43,43,44,46,47,44,44,49
1777887629.3806,45,45,53,42,43,43,43,46,47,45,44,49
1777887629.5809,45,45,53,42,43,43,43,46,47,45,44,49
1777887629.7812,45,45,54,42,43,43,43,46,47,45,44,49
1777887629.9816,45,45,54,42,43,43,44,46,47,45,44,49
1777887630.1818,45,45,54,42,43,43,44,46,47,45,44,49
1777887630.3820,46,45,53,42,43,43,44,46,47,45,44,49
1777887630.5823,45,45,54,42,43,43,43,46,47,45,44,49
1777887630.7826,45,45,54,42,43,43,44,46,47,45,44,49
1777887630.9828,45,45,53,42,43,43,44,46,47,45,44,49
1777887631.1830,46,45,53,42,43,43,44,46,47,44,44,49
1777887631.3834,45,45,54,42,43,43,44,46,47,45,44,49
